Date,Type,Amount,Tax Category,Description,Receipt
2026-02-05,Expense,50,Taxes and licenses,Michigan LLC Articles of Organization filing fee (C0668-7939),C0668-7939.pdf
2026-01-30,Expense,11.97,Advertising,Namecheap: domain freshrootsconsulting.us + PositiveSSL (1 yr) — Order 193477505,"Namecheap Order Summary (Order# 193477505);.eml"
2026-02-03,Expense,50,Legal and professional services,Bradley J. Nicoll — Formation of Fresh Roots LLC 2026 (Invoice #02314),Your payment has been sent.eml
2026-02-18,Expense,20,Office expense,Cursor Pro subscription (AI-powered IDE) — Feb 2026,Cursor Feb 2026.eml
2026-02-10,Expense,5.57,Meals and entertainment,Cabin Creek Coffee — Feb 10 2026,Cursor Jan 2026.eml
2026-03-26,Expense,51.25,Meals and entertainment,Village Kupps meal during client travel,Meal2-key west-travel.png
2026-03-25,Expense,10.00,Meals and entertainment,Starbucks coffee during client travel (Key West),Coffee-key west-travel.png
2026-03-24,Expense,15.80,Meals and entertainment,Fuel Bar Key West meal during client travel,Meal-Key West-Travel.png
2026-03-23,Expense,4.48,Meals and entertainment,Baby's Coffee purchase during client travel,Client Meet 2 - Key West - Travel.png
2026-03-07,Expense,358.40,Travel,Delta airfare receipt (GRR ↔ EYW) for client travel,Your Flight Receipt - JAMES MITTERLING 21MAR26.eml
2026-03-22,Expense,4.23,Other expenses,Venture Out Community charge during client travel,Client Meet- Key West- Travel.png
2026-03-21,Expense,4.15,Meals and entertainment,Publix purchase during client travel (snack/beverage),Publix-Key West-Travel.png
2026-03-18,Expense,20.00,Office expense,Cursor subscription for Fresh Roots (AI-powered IDE) — Mar 2026,Cursor subscription for Fresh Roots.png
2026-01-18,Expense,20.00,Office expense,Cursor subscription for Fresh Roots (AI-powered IDE) — Jan 2026,Cursor-Jan subscription-fresh roots .png
